Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity
Ring of Fire (trofire.com),left,USA (44/180 Press Freedom),https://trofire.com/,golefttv,ringoffireradio,0.5454545454545454
Rolling Stone (www.rollingstone.com),left,USA (44/180 Press Freedom),https://www.rollingstone.com/,UC-JblcinswY50lrUdSaRNEg,rollingstone,1.0
Salon (www.salon.com),left,USA,https://www.salon.com,,salon,1.0
San Francisco Bay View (sfbayview.com),left,USA,https://sfbayview.com/,,sfbayview,1.0
Scary Mommy (www.scarymommy.com),left,USA (45/180 Press Freedom),https://www.scarymommy.com/,ScaryMommyTV,scarymommy,1.0
"Second Nexus (secondnexus.com)
",left,USA,https://secondnexus.com,,elonmusk,0.5263157894736842
Seventeen,left,USA,https://www.seventeen.com/,SeventeenMagazine,seventeen,1.0
Shadow Proof (shadowproof.com),left,USA (44/180 Press Freedom),https://shadowproof.com,shadowproofcom,shadowproofcom,0.88
ShareBlue (shareblue.com),left,USA,https://shareblue.com/,,,
Shondaland (shondaland.com),left,USA,https://www.shondaland.com/,,byshondaland,0.9090909090909091
Slate (www.slate.com),left,USA (45/180 Press Freedom),https://slate.com,,slate,1.0
Sludge (readsludge.com),left,USA,https://readsludge.com/,,sludge,0.75
Smirking Chimp,left,USA (44/180 Press Freedom),http://www.smirkingchimp.com/,,gop,0.25
Socialist Standard (www.worldsocialism.org),left,United Kingdom,https://www.worldsocialism.org/spgb/,,,
SocialistWorker.org (socialistworker.org),left,USA,https://socialistworker.org/,,,
Source Politics (sourcepolitics.com/),left,USA,https://www.sourcepolitics.com,,,
SourceWatch (www.sourcewatch.org),left,USA,https://www.sourcewatch.org/,,,
Southern Poverty Law Center (www.splcenter.org),left,USA (44/180 Press Freedom),https://www.splcenter.org/,,splcenter,1.0
Splinter (splinternews.com),left,USA,https://splinternews.com,UC4cCsgbPuRZG6LvRmCPjXgg,splinter_news,0.96
St. Pete for Peace (www.stpete4peace.org),left,USA (45/180 Press Freedom),https://www.stpete4peace.org/,,,
Talking Points Memo (talkingpointsmemo.com),left,USA (44/180 Press Freedom),https://talkingpointsmemo.com,,,
Teen Vogue (teenvogue.com),left,USA,https://www.teenvogue.com,,teenvogue,1.0
The 19th News (19thnews.org),left,USA,https://19thnews.org/,,,
The Advocate (www.advocate.com),left,USA (44/180 Press Freedom),https://www.advocate.com,,,
The American Independent Institute (americanindependent.com),left,USA (44/180 Press Freedom),https://americanindependent.com/,,amerindependent,0.8823529411764706
The American Prospect (prospect.org),left,USA (44/180 Press Freedom),https://prospect.org,,theprospect,0.8421052631578947
The Austin Chronicle (www.austinchronicle.com),left,USA,https://www.austinchronicle.com,,austinchronicle,1.0
"The Baffler (thebaffler.com)
",left,USA (44/180 Press Freedom),https://thebaffler.com/,,thebafflermag,0.8695652173913043
The Blue Route (www.blue-route.org),left,USA,http://theblueroute.org/,,,
The Burning Spear (www.theburningspear.com),left,USA (44/180 Press Freedom),https://www.theburningspear.com/,uhurutv,_uhurunews_,0.38461538461538464
The Canary (UK) (www.thecanary.co),left,United Kingdom,https://www.thecanary.co/,TheCanaryTV,thecanaryuk,0.9
The Climate Reality Project (www.climaterealityproject.org),left,USA (45/180 Press Freedom),https://www.climaterealityproject.org/,,,
The Cut (thecut.com),left,USA,https://www.thecut.com/,,,
The Daily 49er (www.daily49er.com),left,USA,http://www.daily49er.com/,,,
The Daily Banter (thedailybanter.com),left,USA,https://thedailybanter.com/,,thedailybanter,1.0
The Daily Buzz (the-daily.buzz),left,USA,https://the-daily.buzz/,,thedailybuzz5,0.7272727272727273
The Daily Vox (www.thedailyvox.co.za),left,South Africa,https://www.thedailyvox.co.za/,UC9-EHjkOfBwD2_jVBsgpxqQ,thedailyvox,1.0
The Democratic Hub (www.democratichub.com),left,USA (45/180 Press Freedom),http://www.democratichub.com/,,,
The Dodo (https://www.thedodo.com),left,USA,https://www.thedodo.com,,dodo,0.7272727272727273
The Dworkin Report (dworkinreport.com),left,USA (45/180 Press Freedom),https://dworkinreport.com,,funder,0.21052631578947367
The Florida Squeeze (thefloridasqueeze.com),left,USA (44/180 Press Freedom),https://thefloridasqueeze.com/,,flasqueeze,0.7407407407407407
The Gaily Grind (thegailygrind.com),left,USA,https://thegailygrind.com/,TheGailyGrind,thegailygrind,1.0
The Ghion Journal (ghionjournal.com),left,USA (44/180 Press Freedom),https://ghionjournal.com,,,
The Good Men Project (goodmenproject.com),left,USA,https://goodmenproject.com/,,,
The Gravel Institute (gravelinstitute.org),left,USA,https://www.gravelinstitute.org/,TheGravelInstitute,gravelinstitute,1.0
The Improper Magazine (www.theimproper.com),left,USA,https://www.theimproper.com,,,
The Indypendent (indypendent.org),left,USA,https://indypendent.org,,theindypendent,0.88
The Intellectualist (theintellectualist.co),left,USA (44/180 Press Freedom),https://mavenroundtable.io/theintellectualist/,,highbrow_nobrow,0.26666666666666666
